participantCode,id,participantId,trialIndex,mode,min,max,calibration,startTime,stopTime,canvas,pleasant,focus,realism
55,1,1,1,tartarus,25.0,100.0,33.0,1772023428756,1772023429212,rise,50.0,50.0,50.0
55,2,1,2,up,25.0,100.0,33.0,1772023434630,1772023435216,olymp,50.0,50.0,50.0
55,3,1,3,down,25.0,100.0,33.0,1772023440887,1772023441291,rise,50.0,50.0,50.0
55,4,1,4,olymp,50.0,100.0,,,,,,,
55,5,1,5,olymp,0.0,100.0,,,,,,,
55,6,1,6,down,75.0,100.0,,,,,,,
55,7,1,7,olymp,25.0,100.0,,,,,,,
55,8,1,8,up,50.0,100.0,,,,,,,
55,9,1,9,tartarus,0.0,100.0,,,,,,,
55,10,1,10,tartarus,75.0,100.0,,,,,,,
55,11,1,11,down,0.0,100.0,,,,,,,
55,12,1,12,down,50.0,100.0,,,,,,,
55,13,1,13,tartarus,50.0,100.0,,,,,,,
55,14,1,14,olymp,75.0,100.0,,,,,,,
55,15,1,15,up,75.0,100.0,,,,,,,
